CUST_CODE,LAST_WEEK,LAST_DATE,TOTAL_COME,TOTAL_SPEND,CUS_SEN_LA,CUS_SEN_MM,CUS_SEN_UM,CUS_SEN_XX,BAS_SIZE_L,BAS_SIZE_M,BAS_SIZE_S,BAS_TYPE_FULL,BAS_TYPE_SMALL,BAS_TYPE_TOP,BAS_TYPE_XX,BAS_DO_FRESH,BAS_DO_GROCERY,BAS_DO_MIX,BAS_DO_NONFOOD,STORE_FOR_LS,STORE_FOR_MS,STORE_FOR_SS,STORE_FOR_XLS,STORE_FOR_XX,Total_CHURN,CHURN
CUST0000999786,200631,2006-09-25,28,221.88,0,94,0,0,9,69,16,0,52,42,0,61,6,22,5,15,79,0,0,0,0.0,0.0
CUST0000999385,200631,2006-09-29,70,987.56,0,0,767,0,627,130,10,393,67,306,1,408,13,345,0,0,708,13,46,1,0.0,0.0
CUST0000998907,200631,2006-09-29,34,697.13000000000011,0,0,417,0,373,38,6,292,19,106,0,94,51,272,0,417,0,0,0,0,0.0,0.0
CUST0000998609,200630,2006-09-20,5,16.09,0,0,0,7,0,2,5,0,7,0,0,4,0,2,1,5,1,1,0,0,0.0,0.0
CUST0000998017,200631,2006-09-30,107,841.92,308,0,0,0,39,214,55,0,228,73,7,190,36,73,2,3,0,305,0,7,0.0,0.0
CUST0000997627,200631,2006-09-29,40,328.08000000000004,312,0,0,0,207,101,4,115,27,170,0,135,10,167,0,28,0,284,0,0,0.0,0.0
CUST0000997572,200627,2006-08-31,11,450.52000000000004,0,0,230,0,230,0,0,203,0,27,0,68,0,162,0,230,0,0,0,0,0.0,0.0
CUST0000997464,200631,2006-09-30,49,696.70000000000016,0,367,0,0,255,101,11,47,54,266,0,252,0,100,15,292,49,26,0,0,0.0,0.0
CUST0000997118,200631,2006-09-29,61,478.18000000000006,0,0,300,0,133,141,26,0,119,181,0,222,8,63,7,298,0,0,2,0,0.0,0.0
CUST0000996890,200630,2006-09-24,10,35.510000000000005,0,16,0,0,4,11,1,0,11,4,1,0,15,0,0,0,0,4,12,1,0.0,0.0
CUST0000996270,200631,2006-09-30,23,463.2,0,206,0,0,171,33,2,97,27,82,0,114,1,90,1,206,0,0,0,0,0.0,0.0
CUST0000996154,200631,2006-09-25,42,541.23,243,0,0,0,202,23,18,25,35,183,0,140,25,74,4,0,0,243,0,0,0.0,0.0
CUST0000996036,200630,2006-09-21,15,92.07,0,45,0,0,10,24,11,0,17,28,0,19,8,14,4,45,0,0,0,0,0.0,0.0
CUST0000995942,200611,2006-05-14,1,2.93,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,1.0,1.0
CUST0000995323,200631,2006-09-25,41,786.57,550,0,0,0,526,22,2,284,12,254,0,281,0,269,0,537,13,0,0,0,0.0,0.0
CUST0000995062,200630,2006-09-20,27,539.41,226,0,0,0,167,59,0,78,28,120,0,101,22,103,0,226,0,0,0,0,0.0,0.0
CUST0000994456,200631,2006-09-30,53,372.48,175,0,0,0,55,81,39,46,96,33,0,67,38,57,13,175,0,0,0,0,0.0,0.0
CUST0000994225,200631,2006-09-29,74,781.97,0,0,409,0,260,128,21,26,86,297,0,331,7,57,14,403,5,0,1,0,0.0,0.0
CUST0000994092,200631,2006-09-27,48,888.98000000000013,0,519,0,0,438,69,12,312,37,170,0,277,15,224,3,515,0,0,4,0,0.0,0.0
CUST0000993604,200631,2006-09-26,19,188.78,0,106,0,0,67,33,6,26,16,64,0,53,17,31,5,0,76,28,2,0,0.0,0.0
CUST0000993466,200616,2006-06-18,1,15.41,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,1.0,1.0
CUST0000993466,200613,2006-05-27,1,20.47,0,7,0,0,7,0,0,0,0,7,0,7,0,0,0,0,7,0,0,0,0.0,0.0
CUST0000993271,200631,2006-09-29,45,1226.7,0,0,649,0,594,48,7,580,36,33,0,386,8,252,3,44,605,0,0,0,0.0,0.0
CUST0000993082,200631,2006-09-30,44,893.29000000000008,0,204,0,0,134,57,13,121,64,18,1,23,44,124,12,204,0,0,0,1,0.0,0.0
