CUST_CODE,LAST_WEEK,LAST_DATE,TOTAL_COME,TOTAL_SPEND,CUS_SEN_LA,CUS_SEN_MM,CUS_SEN_UM,CUS_SEN_XX,BAS_SIZE_L,BAS_SIZE_M,BAS_SIZE_S,BAS_TYPE_FULL,BAS_TYPE_SMALL,BAS_TYPE_TOP,BAS_TYPE_XX,BAS_DO_FRESH,BAS_DO_GROCERY,BAS_DO_MIX,BAS_DO_NONFOOD,STORE_FOR_LS,STORE_FOR_MS,STORE_FOR_SS,STORE_FOR_XLS,STORE_FOR_XX,Total_CHURN,CHURN
CUST0000999786,200739,2007-11-25,88,569.54000000000008,0,313,0,0,93,170,50,0,142,171,0,200,12,75,26,63,250,0,0,0,0.0,0.0
CUST0000999385,200740,2007-11-30,234,3105.6999999999989,0,0,2442,0,2123,282,37,1157,212,1072,1,1189,141,1105,6,36,2332,27,47,1,0.0,0.0
CUST0000998907,200740,2007-11-30,122,2549.8199999999997,0,0,1601,0,1425,153,23,1197,102,302,0,382,151,1067,1,1601,0,0,0,0,0.0,0.0
CUST0000998851,200743,2007-12-23,20,345.48,0,125,0,0,101,12,12,84,19,22,0,22,6,84,13,125,0,0,0,0,0.0,0.0
CUST0000998609,200729,2007-09-10,6,18.25,0,0,0,8,0,2,6,0,8,0,0,5,0,2,1,5,1,2,0,0,0.0,0.0
CUST0000998609,200739,2007-11-23,5,31.53,0,0,0,10,0,6,4,0,6,4,0,4,4,0,2,9,0,1,0,0,3.0,1.0
CUST0000998017,200740,2007-11-29,651,4118.0500000000011,1677,0,0,0,138,1144,395,0,1316,295,66,937,277,337,60,8,0,1669,0,66,0.0,0.0
CUST0000997627,200740,2007-11-28,153,1251.82,1252,0,0,0,863,366,23,305,132,815,0,384,188,677,3,152,4,1096,0,0,0.0,0.0
CUST0000997572,200741,2007-12-04,2,53.47,0,0,40,0,40,0,0,26,0,14,0,14,0,26,0,40,0,0,0,0,2.0,1.0
CUST0000997572,200704,2007-03-24,19,908.1400000000001,0,0,461,0,461,0,0,434,0,27,0,89,0,372,0,461,0,0,0,0,0.0,0.0
CUST0000997464,200740,2007-11-26,148,2024.2600000000002,0,1001,0,0,699,248,54,201,178,620,2,711,37,217,34,851,95,55,0,2,0.0,0.0
CUST0000997386,200740,2007-11-30,58,302.10999999999996,0,0,160,0,53,61,46,0,81,75,4,48,30,72,6,3,41,0,116,4,0.0,0.0
CUST0000997118,200740,2007-11-27,208,1709.6299999999999,0,0,1015,0,432,504,79,0,430,585,0,761,45,194,15,1013,0,0,2,0,0.0,0.0
CUST0000996890,200739,2007-11-22,26,128.04,0,61,0,0,36,21,4,0,22,33,6,10,45,0,0,0,25,11,25,6,0.0,0.0
CUST0000996727,200716,2007-06-12,2,12.8,0,0,9,0,8,0,1,0,1,8,0,1,0,8,0,9,0,0,0,0,2.0,1.0
CUST0000996270,200740,2007-11-27,68,1246.6000000000001,0,582,0,0,467,107,8,205,75,302,0,326,31,224,1,582,0,0,0,0,0.0,0.0
CUST0000996154,200740,2007-11-30,124,1720.55,758,0,0,0,644,71,43,52,82,623,1,387,54,309,7,0,4,754,0,1,0.0,0.0
