CUST_CODE,LAST_WEEK,LAST_DATE,TOTAL_COME,TOTAL_SPEND,CUS_SEN_LA,CUS_SEN_MM,CUS_SEN_UM,CUS_SEN_XX,BAS_SIZE_L,BAS_SIZE_M,BAS_SIZE_S,BAS_TYPE_FULL,BAS_TYPE_SMALL,BAS_TYPE_TOP,BAS_TYPE_XX,BAS_DO_FRESH,BAS_DO_GROCERY,BAS_DO_MIX,BAS_DO_NONFOOD,STORE_FOR_LS,STORE_FOR_MS,STORE_FOR_SS,STORE_FOR_XLS,STORE_FOR_XX,Total_CHURN,CHURN
CUST0000999786,200621,2006-07-22,20,153.96,0,54,0,0,0,43,11,0,43,11,0,35,5,11,3,6,48,0,0,0,0.0,0.0
CUST0000999385,200623,2006-07-31,44,668.49,0,0,514,0,417,96,1,283,36,195,0,283,8,223,0,0,488,5,21,0,0.0,0.0
CUST0000998907,200623,2006-07-31,24,538.45,0,0,317,0,296,18,3,232,10,75,0,65,46,206,0,317,0,0,0,0,0.0,0.0
CUST0000998609,200618,2006-06-30,3,14.19,0,0,0,5,0,2,3,0,5,0,0,2,0,2,1,5,0,0,0,0,0.0,0.0
CUST0000998017,200622,2006-07-30,52,458.71999999999997,152,0,0,0,23,103,26,0,112,36,4,84,23,39,2,3,0,149,0,4,0.0,0.0
CUST0000997627,200623,2006-07-31,25,214.22000000000003,209,0,0,0,150,57,2,66,11,132,0,94,1,114,0,17,0,192,0,0,0.0,0.0
CUST0000997572,200627,2006-08-31,11,450.52000000000004,0,0,230,0,230,0,0,203,0,27,0,68,0,162,0,230,0,0,0,0,0.0,0.0
CUST0000997464,200622,2006-07-30,23,325.11,0,170,0,0,119,45,6,31,31,108,0,136,0,24,10,115,34,21,0,0,0.0,0.0
CUST0000997118,200622,2006-07-26,38,293.09000000000003,0,0,190,0,88,85,17,0,76,114,0,153,3,31,3,188,0,0,2,0,0.0,0.0
CUST0000996890,200622,2006-07-27,8,30.630000000000003,0,12,0,0,4,7,1,0,7,4,1,0,11,0,0,0,0,4,8,1,0.0,0.0
CUST0000996270,200622,2006-07-30,15,347.97,0,143,0,0,121,21,1,58,14,71,0,72,1,70,0,143,0,0,0,0,0.0,0.0
CUST0000996154,200622,2006-07-28,29,335.95,158,0,0,0,125,23,10,0,27,131,0,101,23,32,2,0,0,158,0,0,0.0,0.0
CUST0000996036,200622,2006-07-25,11,58.58,0,23,0,0,0,16,7,0,13,10,0,11,4,4,4,23,0,0,0,0,0.0,0.0
CUST0000995942,200611,2006-05-14,1,2.93,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,1.0,1.0
CUST0000995323,200623,2006-07-31,31,575.98,402,0,0,0,380,22,0,191,10,201,0,189,0,213,0,389,13,0,0,0,0.0,0.0
CUST0000995062,200622,2006-07-29,19,415.58,168,0,0,0,130,38,0,78,24,66,0,73,18,77,0,168,0,0,0,0,0.0,0.0
CUST0000994456,200622,2006-07-29,24,233.81,99,0,0,0,55,26,18,46,40,13,0,48,21,27,3,99,0,0,0,0,0.0,0.0
CUST0000994225,200623,2006-07-31,43,411.6,0,0,230,0,139,76,15,15,58,157,0,175,5,40,10,224,5,0,1,0,0.0,0.0
CUST0000994092,200622,2006-07-28,32,614.88000000000011,0,351,0,0,295,47,9,194,23,134,0,186,1,161,3,348,0,0,3,0,0.0,0.0
