CUST_CODE,LAST_WEEK,LAST_DATE,TOTAL_COME,TOTAL_SPEND,CUS_SEN_LA,CUS_SEN_MM,CUS_SEN_UM,CUS_SEN_XX,BAS_SIZE_L,BAS_SIZE_M,BAS_SIZE_S,BAS_TYPE_FULL,BAS_TYPE_SMALL,BAS_TYPE_TOP,BAS_TYPE_XX,BAS_DO_FRESH,BAS_DO_GROCERY,BAS_DO_MIX,BAS_DO_NONFOOD,STORE_FOR_LS,STORE_FOR_MS,STORE_FOR_SS,STORE_FOR_XLS,STORE_FOR_XX,Total_CHURN,CHURN
CUST0000999786,200705,2007-03-31,59,404.61,0,201,0,0,40,128,33,0,103,98,0,134,11,41,15,37,164,0,0,0,0.0,0.0
CUST0000999385,200705,2007-03-30,144,1812.6,0,0,1449,0,1250,169,30,637,149,662,1,750,76,617,5,0,1381,22,46,1,0.0,0.0
CUST0000998907,200705,2007-03-31,69,1415.4700000000003,0,0,905,0,799,99,7,641,55,209,0,262,60,583,0,905,0,0,0,0,0.0,0.0
CUST0000998609,200630,2006-09-20,5,16.09,0,0,0,7,0,2,5,0,7,0,0,4,0,2,1,5,1,1,0,0,0.0,0.0
CUST0000998609,200702,2007-03-06,3,21.41,0,0,0,7,0,4,3,0,3,4,0,4,1,0,2,6,0,1,0,0,2.0,1.0
CUST0000998017,200705,2007-03-31,311,2185.2400000000007,836,0,0,0,79,588,169,0,640,160,36,490,117,175,18,3,0,833,0,36,0.0,0.0
CUST0000997627,200705,2007-03-27,90,746.94999999999993,748,0,0,0,512,221,15,233,81,434,0,247,93,407,1,127,4,617,0,0,0.0,0.0
CUST0000997572,200704,2007-03-24,19,908.1400000000001,0,0,461,0,461,0,0,434,0,27,0,89,0,372,0,461,0,0,0,0,0.0,0.0
CUST0000997572,200706,2007-04-07,1,36.14,0,0,26,0,26,0,0,26,0,0,0,0,0,26,0,26,0,0,0,0,1.0,1.0
CUST0000997464,200705,2007-03-28,116,1462.42,0,754,0,0,481,232,41,90,151,513,0,514,20,187,33,611,88,55,0,0,0.0,0.0
CUST0000997386,200708,2007-04-19,20,112.99000000000001,0,0,59,0,32,10,17,0,27,32,0,14,0,39,6,1,17,0,41,0,0.0,0.0
CUST0000997118,200705,2007-03-26,123,950.31000000000006,0,0,592,0,229,319,44,0,253,339,0,427,35,120,10,590,0,0,2,0,0.0,0.0
CUST0000996890,200702,2007-03-07,19,89.300000000000011,0,40,0,0,21,15,4,0,15,21,4,0,36,0,0,0,4,11,25,4,0.0,0.0
CUST0000996727,200637,2006-11-06,1,10.25,0,0,8,0,8,0,0,0,0,8,0,0,0,8,0,8,0,0,0,0,1.0,1.0
CUST0000996270,200705,2007-03-26,40,804.86000000000013,0,364,0,0,296,66,2,136,49,179,0,208,22,133,1,364,0,0,0,0,0.0,0.0
CUST0000996154,200705,2007-03-29,83,1107.5400000000002,496,0,0,0,418,48,30,52,55,389,0,265,34,192,5,0,1,495,0,0,0.0,0.0
CUST0000996036,200704,2007-03-24,56,512.77,0,221,0,0,87,108,26,13,98,110,0,127,14,75,5,221,0,0,0,0,0.0,0.0
CUST0000995942,200611,2006-05-14,1,2.93,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,1.0,1.0
CUST0000995323,200705,2007-03-30,91,1938.9399999999996,1243,0,0,0,1200,41,2,592,22,629,0,689,30,524,0,1230,13,0,0,0,0.0,0.0
CUST0000995062,200705,2007-03-26,54,881.54,364,0,0,0,242,111,11,117,63,184,0,136,60,164,4,359,2,3,0,0,0.0,0.0
