CUST_CODE,LAST_WEEK,LAST_DATE,TOTAL_COME,TOTAL_SPEND,CUS_SEN_LA,CUS_SEN_MM,CUS_SEN_UM,CUS_SEN_XX,BAS_SIZE_L,BAS_SIZE_M,BAS_SIZE_S,BAS_TYPE_FULL,BAS_TYPE_SMALL,BAS_TYPE_TOP,BAS_TYPE_XX,BAS_DO_FRESH,BAS_DO_GROCERY,BAS_DO_MIX,BAS_DO_NONFOOD,STORE_FOR_LS,STORE_FOR_MS,STORE_FOR_SS,STORE_FOR_XLS,STORE_FOR_XX,Total_CHURN,CHURN
CUST0000999786,200640,2006-11-30,38,289.49,0,133,0,0,19,92,22,0,62,71,0,96,8,22,7,15,118,0,0,0,0.0,0.0
CUST0000999385,200640,2006-11-30,97,1269.64,0,0,1010,0,849,147,14,462,98,449,1,576,35,397,1,0,946,18,46,1,0.0,0.0
CUST0000998907,200640,2006-11-29,47,928.46000000000015,0,0,573,0,494,73,6,405,37,131,0,146,60,367,0,573,0,0,0,0,0.0,0.0
CUST0000998609,200630,2006-09-20,5,16.09,0,0,0,7,0,2,5,0,7,0,0,4,0,2,1,5,1,1,0,0,0.0,0.0
CUST0000998609,200640,2006-11-28,2,20.55,0,0,0,6,0,4,2,0,2,4,0,4,0,0,2,6,0,0,0,0,1.0,1.0
CUST0000998017,200640,2006-11-30,176,1235.78,472,0,0,0,42,330,100,0,357,97,18,292,64,96,2,3,0,469,0,18,0.0,0.0
CUST0000997627,200640,2006-11-27,57,440.34000000000003,436,0,0,0,282,145,9,145,49,242,0,154,35,247,0,39,0,397,0,0,0.0,0.0
CUST0000997572,200644,2006-12-29,14,673.38,0,0,325,0,325,0,0,298,0,27,0,68,0,257,0,325,0,0,0,0,0.0,0.0
CUST0000997464,200639,2006-11-25,69,921.44000000000017,0,496,0,0,333,146,17,47,92,357,0,342,1,136,17,405,52,39,0,0,0.0,0.0
CUST0000997386,200640,2006-11-29,7,20.17,0,0,11,0,0,4,7,0,11,0,0,8,0,0,3,1,2,0,8,0,0.0,0.0
CUST0000997118,200640,2006-11-29,83,622.56000000000006,0,0,398,0,153,215,30,0,178,220,0,286,12,92,8,396,0,0,2,0,0.0,0.0
CUST0000996890,200636,2006-10-31,13,61.990000000000009,0,32,0,0,17,14,1,0,14,17,1,0,31,0,0,0,3,4,25,1,0.0,0.0
CUST0000996727,200637,2006-11-06,1,10.25,0,0,8,0,8,0,0,0,0,8,0,0,0,8,0,8,0,0,0,0,1.0,1.0
CUST0000996270,200640,2006-11-30,29,546.78,0,250,0,0,202,46,2,97,33,120,0,130,7,112,1,250,0,0,0,0,0.0,0.0
CUST0000996154,200639,2006-11-26,52,704.71,326,0,0,0,277,30,19,39,37,250,0,187,25,109,5,0,0,326,0,0,0.0,0.0
CUST0000996036,200639,2006-11-21,30,221.19,0,109,0,0,37,55,17,0,40,69,0,62,9,34,4,109,0,0,0,0,0.0,0.0
CUST0000995942,200611,2006-05-14,1,2.93,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,1.0,1.0
CUST0000995323,200640,2006-11-29,59,1112.27,775,0,0,0,741,32,2,401,17,357,0,439,0,336,0,762,13,0,0,0,0.0,0.0
