CUST_CODE,LAST_WEEK,LAST_DATE,TOTAL_COME,TOTAL_SPEND,CUS_SEN_LA,CUS_SEN_MM,CUS_SEN_UM,CUS_SEN_XX,BAS_SIZE_L,BAS_SIZE_M,BAS_SIZE_S,BAS_TYPE_FULL,BAS_TYPE_SMALL,BAS_TYPE_TOP,BAS_TYPE_XX,BAS_DO_FRESH,BAS_DO_GROCERY,BAS_DO_MIX,BAS_DO_NONFOOD,STORE_FOR_LS,STORE_FOR_MS,STORE_FOR_SS,STORE_FOR_XLS,STORE_FOR_XX,Total_CHURN,CHURN
CUST0000999786,200614,2006-05-31,9,62.81,0,31,0,0,0,28,3,0,20,11,0,24,1,5,1,4,27,0,0,0,0.0,0.0
CUST0000999385,200614,2006-05-29,21,318.18,0,0,241,0,196,45,0,105,5,131,0,122,8,111,0,0,219,2,20,0,0.0,0.0
CUST0000998907,200613,2006-05-24,8,184.66,0,0,110,0,105,4,1,82,1,27,0,14,19,77,0,110,0,0,0,0,0.0,0.0
CUST0000998017,200613,2006-05-25,9,114.51,32,0,0,0,11,18,3,0,20,11,1,5,1,23,2,0,0,32,0,1,0.0,0.0
CUST0000997627,200613,2006-05-28,10,66.26,67,0,0,0,37,29,1,17,10,40,0,39,0,28,0,6,0,61,0,0,0.0,0.0
CUST0000997572,200613,2006-05-22,5,194.05,0,0,92,0,92,0,0,79,0,13,0,30,0,62,0,92,0,0,0,0,0.0,0.0
CUST0000997464,200613,2006-05-26,7,53.470000000000013,0,28,0,0,14,11,3,0,14,14,0,25,0,3,0,21,3,4,0,0,0.0,0.0
CUST0000997118,200613,2006-05-26,12,90.29,0,0,56,0,20,31,5,0,32,24,0,40,0,13,3,56,0,0,0,0,0.0,0.0
CUST0000996890,200614,2006-05-31,3,23.250000000000004,0,6,0,0,4,1,1,0,1,4,1,0,5,0,0,0,0,1,5,1,0.0,0.0
CUST0000996270,200613,2006-05-23,4,167.49999999999997,0,64,0,0,63,0,1,39,1,24,0,18,1,45,0,64,0,0,0,0,0.0,0.0
CUST0000996154,200614,2006-05-30,12,126.23,63,0,0,0,53,6,4,0,10,53,0,43,10,8,2,0,0,63,0,0,0.0,0.0
CUST0000995942,200611,2006-05-14,1,2.93,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,3,0,0,0,1.0,1.0
CUST0000995323,200614,2006-05-31,13,255.72,164,0,0,0,154,10,0,58,3,103,0,105,0,59,0,164,0,0,0,0,0.0,0.0
CUST0000995062,200613,2006-05-24,9,156.67999999999995,92,0,0,0,79,13,0,38,9,45,0,44,18,30,0,92,0,0,0,0,0.0,0.0
CUST0000994456,200612,2006-05-17,12,126.01,56,0,0,0,35,12,9,35,21,0,0,39,6,8,3,56,0,0,0,0,0.0,0.0
CUST0000994225,200614,2006-05-29,17,162.22000000000003,0,0,90,0,43,44,3,0,18,72,0,61,1,23,5,90,0,0,0,0,0.0,0.0
CUST0000994092,200614,2006-05-30,13,274.39000000000004,0,163,0,0,146,12,5,115,9,39,0,67,0,94,2,161,0,0,2,0,0.0,0.0
CUST0000993604,200614,2006-05-31,3,26.74,0,14,0,0,8,4,2,0,2,12,0,10,4,0,0,0,10,4,0,0,0.0,0.0
CUST0000993466,200613,2006-05-27,1,20.47,0,7,0,0,7,0,0,0,0,7,0,7,0,0,0,0,7,0,0,0,0.0,0.0
CUST0000993271,200614,2006-05-31,15,423.73000000000008,0,0,219,0,201,15,3,201,14,4,0,143,2,74,0,25,194,0,0,0,0.0,0.0
CUST0000993082,200612,2006-05-18,14,367.07000000000005,0,92,0,0,73,17,2,68,19,5,0,0,17,68,7,92,0,0,0,0,0.0,0.0
CUST0000992774,200613,2006-05-25,9,90.079999999999984,0,44,0,0,12,32,0,0,8,36,0,14,5,25,0,44,0,0,0,0,0.0,0.0
CUST0000992313,200613,2006-05-27,12,346.71000000000009,0,0,155,0,151,4,0,37,4,114,0,92,10,53,0,0,0,0,155,0,0.0,0.0
CUST0000992272,200613,2006-05-25,1,1.85,0,2,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0.0,0.0
CUST0000991565,200610,2006-05-06,3,8.370000000000001,3,0,0,0,0,2,1,0,3,0,0,0,2,0,1,3,0,0,0,0,0.0,0.0
